Region,GOVERNORATE,CODE GOUV,DELEGATION,CODE DELEG,SECTOR,CODE SECTOR,Block,CODE BLOCK,Area,pop_block,Lodging,Cumulative population
Grand Tunis,Tunis,11,La Medina,1152,EL SABAGHINE,115261,El Sabaghine 2,1152612,Urban,387.8,132.4,42634.2666666667
Grand Tunis,Tunis,11,La Medina,1152,EL SABAGHINE,115261,El Sabaghine 3,1152613,Urban,387.8,132.4,43022.0666666667
Grand Tunis,Tunis,11,La Medina,1152,EL SABAGHINE,115261,El Sabaghine 4,1152614,Urban,387.8,132.4,43409.8666666667
Grand Tunis,Tunis,11,La Medina,1152,SIDI BOUMENDIL,115262,Sidi Boumendil 1,1152621,Urban,363.6,129.2,44161.2666666667
Grand Tunis,Tunis,11,Bab El Bhar,1153,BAB EL BHAR,115351,Bab El Bhar 1,1153511,Urban,405.5,171.625,46021.1666666667
Grand Tunis,Tunis,11,Bab El Bhar,1153,BAB EL BHAR,115351,Bab El Bhar 3,1153513,Urban,405.5,171.625,46832.1666666667
Grand Tunis,Tunis,11,Bab El Bhar,1153,BAB EL BHAR,115351,Bab El Bhar 6,1153516,Urban,405.5,171.625,48048.6666666667
Grand Tunis,Tunis,11,Bab El Bhar,1153,BAB EL BHAR,115351,Bab El Bhar 8,1153518,Urban,405.5,171.625,48859.6666666667
Grand Tunis,Tunis,11,Bab El Bhar,1153,LES JARDINS,115352,Les Jardins 1,1153521,Urban,408.933333333333,176.266666666667,49268.6
Grand Tunis,Tunis,11,Bab El Bhar,1153,LES JARDINS,115352,Les Jardins 3,1153523,Urban,408.933333333333,176.266666666667,50086.4666666667
Grand Tunis,Tunis,11,Bab El Bhar,1153,LES JARDINS,115352,Les Jardins 8,1153528,Urban,408.933333333333,176.266666666667,52131.1333333333
Grand Tunis,Tunis,11,Bab El Bhar,1153,LES JARDINS,115352,Les Jardins 9,1153529,Urban,408.933333333333,176.266666666667,52540.0666666667
Grand Tunis,Tunis,11,Bab El Bhar,1153,LES JARDINS,115352,Les Jardins 10,11535210,Urban,408.933333333333,176.266666666667,52949
Grand Tunis,Tunis,11,Bab El Bhar,1153,LES JARDINS,115352,Les Jardins 15,11535215,Urban,408.933333333333,176.266666666667,54993.6666666667
Grand Tunis,Tunis,11,Bab El Bhar,1153,LAC DE TUNIS,115353,Lac de Tunis 3,1153533,Urban,398.416666666667,166.333333333333,56188.9166666667
Grand Tunis,Tunis,11,Bab El Bhar,1153,LAC DE TUNIS,115353,Lac de Tunis 4,1153534,Urban,398.416666666667,166.333333333333,56587.3333333333
Grand Tunis,Tunis,11,Bab El Bhar,1153,LAC DE TUNIS,115353,Lac de Tunis 5,1153535,Urban,398.416666666667,166.333333333333,56985.75
Grand Tunis,Tunis,11,Bab El Bhar,1153,LAC DE TUNIS,115353,Lac de Tunis 8,1153538,Urban,398.416666666667,166.333333333333,58181
Grand Tunis,Tunis,11,Bab El Bhar,1153,LAC DE TUNIS,115353,Lac de Tunis 9,1153539,Urban,398.416666666667,166.333333333333,58579.4166666667
Grand Tunis,Tunis,11,Bab El Bhar,1153,LAC DE TUNIS,115353,Lac de Tunis 10,11535310,Urban,398.416666666667,166.333333333333,58977.8333333333
Grand Tunis,Tunis,11,Bab El Bhar,1153,MONGI SLIM,115354,Mongi Slim 6,1153546,Urban,396.6,152.3,62154.2666666666
Grand Tunis,Tunis,11,Bab El Bhar,1153,HABIB THAMEUR,115355,Habib Thameur 4,1153554,Urban,391.125,168.125,65305.1666666666
Grand Tunis,Tunis,11,Bab El Bhar,1153,HABIB THAMEUR,115355,Habib Thameur 7,1153557,Urban,391.125,168.125,66478.5416666666
